ticker,quarter
AAPL,2026Q2
AAPL,2026Q1
MSFT,2026Q2
MSFT,2026Q1
ETN,2026Q2
ETN,2026Q1
POWL,2026Q2
POWL,2026Q1
NVT,2026Q2
NVT,2026Q1
